,titles,publishers,authors,years
104,Legal English,"Fourth edition Abingdon, Oxon; New York, NY : Routledge 2015",Rupert Haigh,2015
105,Investigations in universal grammar : a guide to experiments on the acquisition of syntax and semantics,"Cambridge, Mass. : MIT Press c1998",Stephen Crain and Rosalind Thornton,1998
106,Methods for assessing children's syntax,"Cambridge, Mass. : MIT Press c1996, 1998","edited by Dana McDaniel, Cecile McKee and Helen Smith Cairns",1998
107,Plain language for lawyers,4th ed Sydney : Federation Press 2010,Michèle M. Asprey,2010
108,现实是过去的未来 [videorecording] = Disorder,"New York, NY : DGenerate Films distributor c2009",文达出品 ; 导演黄伟凯,2009
109,Dictionary of shipping terms,5th ed London : Informa 2007,by Peter R. Brodie,2007
110,ゲーム的リアリズムの誕生 : 動物化するポストモダン. 2,東京 : 講談社 2007,東浩紀,2007
111,Research methods in child language : a practical guide,"Malden, MA : Wiley-Blackwell 2012",edited by Erika Hoff,2012
112,Advertising and promotion : an integrated marketing communications perspective,"10e, Tenth edition New York, NY : McGraw-Hill 2015",George E. Belch & Michael A. Belch,2015
113,Color atlas of microbiology,Chicago : Year Book Medical Publishers c1974,R. J. Olds,1974
114,Translations from drawing to building and other essays,London : Architectural Association c1997,Robin Evans,1997
115,Experimental methods in language acquisition research,Philadelphia : John Benjamins Pub. Co. c2010,"edited by Elma Blom, Sharon Unsworth",2010
116,建立遊戲治療關係實用手冊,初版 台北市 : 五南圖書出版股份有限公司 2008,"Maria Giordano, Garry Landreth, Leslie Jones著 ; 王孟心, 王世芬譯",2008
117,"Language policy, culture, and identity in Asian contexts","Mahwah, N.J. ; London : Lawrence Erlbaum Associates 2007","edited by Amy B.M. Tsui, James W. Tollefson",2007
118,人間開眼 : 從小說與映像窺視下流日本,初版 香港 : 天窗出版 2013,湯禎兆著,2013
119,架構的生態系 : 資訊環境被如何設計至今?,初版 台北市 : 大鴻藝術股份有限公司 2011,濱野智史著 ; 蘇文淑譯,2011
120,"Health behavior and health education : theory, research, and practice","4th ed San Francisco, CA : Jossey-Bass c2008","Karen Glanz, Barbara K. Rimer, K. Viswanath, editors ; foreword by C. Tracy Orleans",2008
121,The Cambridge handbook of child language,New York : Cambridge University Press 2009,edited by Edith L. Bavin,2009
122,"Netter's Atlas of Anatomy for Speech, Swallowing, and Hearing [electronic resource]",2nd ed London : Elsevier Health Sciences 2014,,2014
123,Against the Third Reich : Paul Tillich's wartime addresses to Nazi Germany,"1st ed Louisville, Ky. : Westminster John Knox Press c1998",editors Ronald H. Stone and Matthew Lon Weaver ; translator Matthew Lon Weaver,1998
124,Museum politics : power plays at the exhibition,Minneapolis : University of Minnesota Press c2002,Timothy W. Luke,2002
125,Sustainable transportation : problems and solutions,New York : Guilford Press 2010,William R. Black,2010
126,Understanding children with language problems,Cambridge ; New York : Cambridge University Press 2000,Shula Chiat,2000
127,"Introduction to legal English : an introduction to legal terminology, reasoning, and writing for lawyers, law students, and business professionals who speak English as a second language","3rd ed Washington, DC : International Law Institute 2009",Mark E. Wojcik,2009
128,Planning health promotion programs : an intervention mapping approach,"Fourth edition San Francisco, CA : Jossey-Bass 2016","L. Kay Bartholomew Eldredge, Christine M. Markham, Robert A.C. Ruiter, Maria E. Fernandez, Gerjo Kok, Guy S. Parcel",2016
129,Molecular biology of the cell,5th ed New York : Garland Science c2008,"Bruce Alberts ... [et al.] ; with problems by John Wilson, Tim Hunt",2008
130,Up in the air [videorecording],Hong Kong : Distributed by IVL c2010,"Paramount Pictures presents ; in association with Cold Spring Pictures and DW Studios, a Montecito Picture Company production ; in association with Rickshaw Productions [and] Right of Way Films ; a Jason Reitman film ; produced by Daniel Dubiecki, Jeffrey Clifford ; produced by Ivan Reitman, Jason Reitman ; screenplay by Jason Reitman and Sheldon Turner ; directed by Jason Reitman",2010
131,"Research methods in language acquisition [electronic resource] : principles, procedures, and practices","First Edition Washington, DC ; Boston : American Psychological Association : Walter de Gruyter 2017","Maria Blume, Pontificia Universidad Católica del Perú, and Barbara C. Lust, Cornell University ; collaborators: Yuchin Chien, Department of Psychology, California State University, Cristina D. Dye, Center for Linguistics and Language Sciences, Newcastle University, Claire A. Foley, Department of Slavic and Eastern Languages and Literatures, Boston College, Yarden Kedar, Department of Early Childhood Education, Beit Berl College, María Blume and Barbara C. Lust, with Yuchin Chien, Cristina D. Dye, Claire A. Foley, and Yarden Kedar",2017
