,titles,publishers,authors,years
17,Contemporary social theory : an introduction,"London ; New York : Routledge, 2009","Elliott, Anthony 1964-",2009
18,The basics of sociology,"Westport, Conn. : Greenwood Press, 2005","Stolley, Kathy S.",2005
19,Social and political philosophy : contemporary perspectives,"London ; New York : Routledge, 2001","Sterba, James P",2001
20,Understanding society : an introductory reader,"4th ed. Belmont, Calif. : Wadsworth, c2012","Andersen, Margaret L; Logio, Kim A; Taylor, Howard Francis 1939-",2012
21,Contemporary sociological theory : expanding the classical tradition,"5th ed. Upper Saddle River, N.J. : Prentice Hall, c1999","Wallace, Ruth A. Wolf, Alison",1999
22,The logic of collective action : public goods and the theory of groups,"Cambridge : Harvard University Press, c1971","Olson, Mancur.",1971
23,The Blackwell companion to political sociology,"Malden, Mass. : Blackwell, c2004","Nash, Kate 1958-; Scott, Alan 1956-",2004
24,社會學新探 = Revisiting sociology,"Singapore : McGraw-Hill Education Asia, c2005","He, Qiangxing; Lü, Zhiwei; 何強星; 呂志偉",2005
25,Social psychology,"7th ed. Delmont, Calif. : Wadsworth Pub Co, c2011","DeLamater, John D. Myers, Daniel J",2011
26,Social science : an introduction to the study of society,"Sixteenth edition. New York, NY : Routledge, 2017","Hunt, Elgin F. author. Colander, David C. author.",2017
27,Sociology : making sense of society,"2nd ed. London : Prentice Hall Europe, 2000","Marsh, Ian 1952-",2000
28,Sociology : a brief but critical introduction,"London : Macmillan, 1982","Giddens, Anthony.",1982
29,Social psychology,"1th ed. New York, NY : McGraw-Hill, c2013","Myers, David G. Twenge, Jean M. 1971-",2013
30,Contemporary society : an introduction to social science,"Fourteenth edition. New York : Routledge, Taylor & Francis Group, 2016","Perry, John A. (John Ambrose), 1931- Perry, Erna",2016
31,Exploring social psychology,"6th ed. New York : McGraw-Hill, c2012","Myers, David G.",2012
32,Social psychology,"3rd ed. Upper Saddle River, N.J. : Prentice Hall, c2001","Feldman, Robert S. (Robert Stephen), 1947-",2001
33,Essential social psychology,"3rd ed. London ; Los Angeles : SAGE, 2014","Crisp, Richard J. 1973- Turner, Rhiannon N",2014
34,Social divisions,"Third edition. Basingstoke : Palgrave Macmillan, 2013","Payne, Geoff 1944-, editor of compilation.",2013
35,21st century sociology : a reference handbook,"Thousand Oaks, Calif. ; London : SAGE, c2007","Bryant, Clifton D. 1932-; Peck, Dennis L",2007
36,Generalist social work practice : an empowering approach,"7th ed. Upper Saddle River, N.J. : Pearson, c2013","Miley, Karla Krogsrud 1942- O'Melia, Michael; DuBois, Brenda 1949-",2013
37,"Global problems : the search for equity, peace, and sustainability","3rd ed. Boston : Pearson, c2012","Sernau, Scott.",2012
38,Tackling social exclusion,"Third edition. Abingdon, Oxon ; New York, NY : Routledge, 2016","Pierson, John 1944-",1944
39,Sociological theory,"Ritzer, George.","Ritzer, George.",2016
40,Modern social work theory,"Fourth edition. Basingstoke : Palgrave Macmillan, 2014","Payne, Malcolm 1947- author.",2014
41,The sources of social power,"Cambridge : Cambridge University Press, 1986-","Mann, Michael 1942-",1986
42,"Social work : themes, issues and critical debates","2nd ed. Houndmills, Basingstoke, Hampshire : Palgrave in association with the Open University, 2002","Adams, Robert 1944-; Dominelli, Lena; Payne, Malcolm 1947-",2002
43,"Beyond red state, blue state : electoral gaps in the twenty-first century American electorate","Upper Saddle River, N.J. : Pearson / Prentice Hall, c2009","Olson, Laura R. 1967-; Green, John Clifford 1953-",2009
44,Human behavior and the social environment : shifting paradigms in essential knowledge for social work practice,"Sixth edition. Boston : Pearson Education, 2015","Schriver, Joe M.",2015
45,The practice of macro social work,"4th ed. Australia : Brooks/Cole, Cengage Learning, c2014","Brueggemann, William G.",2014
46,Human behavior and the social environment : social systems theory,"7th ed. Boston : Pearson, c2013","Dale, Orren. Smith, Rebecca 1949-",2013
47,Mail and internet surveys : the tailored design method,"2nd ed. New York : John Wiley & Sons, c2000","Dillman, Don A. 1941- Dillman, Don A. 1941-.",2000
48,Human behavior theory and social work practice,"2nd ed. New York : Aldine de Gruyter, c1999","Greene, Roberta R (Roberta Rubin), 1940-",1999
49,Introducing social theory,"2nd ed. Cambridge, UK ; Malden, MA : Polity, 2011","Jones, Pip. Bradbury, Liz; Le Boutillier, Shaun",2011
50,An introduction to group work practice,"Eighth edition. Boston : Pearson, 2017","Toseland, Ronald W. author. Rivas, Robert F. author.",2017
51,硏究方法 : 社會工作曁人文科學領域的運用,"初版 臺北市 : 學富文化事業有限公司, 2000","Rubin, Allen. Zhao, Bihua; Zhu, Meizhen; Babbie, Earl R; 趙碧華; 朱美珍",2000
52,The strengths perspective in social work practice,"6th ed. Upper Saddle River, NJ : Pearson, c2013","Saleebey, Dennis",2013
53,Community work,"2nd ed. London : Macmillan, 1991","Twelvetrees, Alan C.",1991
54,The practice of research in social work,"4e. Thousand Oaks, California : SAGE, 2017","Engel, Rafael J. author. Schutt, Russell K. author.",2017
55,Qualitative inquiry & research design : choosing among five approaches,"3rd ed. Thousand Oaks, Calif. : SAGE, c2013","Creswell, John W. Creswell, John W",2013
56,Social research methods,"4th ed. Oxford : Oxford University Press, c2012","Bryman, Alan.",2012
57,"Business and society : stakeholders, ethics, public policy","Fourteenth edition. New York, NY : McGraw-Hill, Irwin, 2014","Lawrence, Anne T. Weber, James (Business ethics professor)",2014
58,Qualitative research methods for the social sciences,"7th ed. Boston : Allyn & Bacon, c2009","Berg, Bruce L. (Bruce Lawrence), 1954-",2009
59,Research methods in applied settings : an integrated approach to design and analysis,"Third edition. New York, NY : Routledge, 2017","Gliner, Jeffrey A. author. Morgan, George A (George Arthur), 1936- author.; Leech, Nancy L. author.",2017
60,Moral philosophy : theories and issues,"3rd ed. Belmont, CA : Wadsworth/Thomson Learning, c2003","Barcalow, Emmett.",2003
61,Archaeologies of materiality,"Malden, MA ; Oxford : Blackwell Pub., 2005","Meskell, Lynn",2005
62,Case study research : design and methods,"3rd ed. Thousand Oaks, Calif. : Sage Publications, c2003","Yin, Robert K.",2003
63,Contemporary social philosophy,"Oxford : B. Blackwell, 1988","Graham, Gordon.",1988
64,Doing social research,"3rd ed. Boston : McGraw-Hill College, c1999","Baker, Therese L.",1999
65,Polite politics : a sociological analysis of an urban protest in Hong Kong,"Aldershot, Hants, England ; Burlington, Vt. : Ashgate, c2000","Ho, Kwok-leung.",2000
66,Technology and society : a bridge to the 21st century,"2nd ed. Upper Saddle River, N.J. : Prentice Hall, c2003","Hjorth, Linda S",2003
67,Understanding social science : a philosophical introduction to the social sciences,"2nd ed. Malden, Mass. : Blackwell Publisers, 2001","Trigg, Roger.",2001
68,Scale development : theory and applications,"2nd ed. Thousand Oaks, Calif. : Sage Publications, Inc., c2003","DeVellis, Robert F.",2003
69,"Research design : qualitative, quantitative, and mixed methods approaches","4th ed. Thousand Oaks : SAGE Publications, c2014","Creswell, John W.",2014
70,Social work : an empowering profession,"eighth edition. Boston : Pearson, c2014","DuBois, Brenda 1949- Miley, Karla Krogsrud 1942-",2014
71,State in society : studying how states and societies transform and constitute one another,"Cambridge : Cambridge University Press, 2001","Migdal, Joel S.",2001
72,Applying ethics : a text with readings,"9th ed. Belmont, CA : Thomson/Wadsworth, c2008","Olen, Jeffrey. Barry, Vincent E; Van Camp, Julie 1947-",2008
73,"Rethinking social inquiry : diverse tools, shared standards","2nd ed. Lanham, Md. : Rowman & Littlefield Publishers, c2010","Brady, Henry E; Collier, David 1942-",2010
74,Generalist practice with organizations and communities,"5th ed. Belmont, CA : Thomson Brooks/Cole, c2012","Kirst-Ashman, Karen Kay. Hull, Grafton H. Jr.",2012
75,The practice of social research,"Fourteenth edition. Boston, Massachusetts : Cengage Learning, 2016","Babbie, Earl R.",2016
76,Approaches to social research,"Sixth edition. New York : Oxford University Press, 2018","Singleton, Royce. Straits, Bruce C",2018
77,Social problems : a service learning approach,"Thousand Oaks, Calif. : Pine Forge Press, c2011","Dolgon, Corey. Baker, Chris",2011
78,Social work macro practice,"Sixth edition. Boston : Pearson, 2017","Netting, F. Ellen",2017
79,Contemporary sociological theory : continuing the classical tradition,"4th ed. Englewood Cliffs, N.J. : Prentice-Hall, c1995","Wallace, Ruth A. Wolf, Alison",1995
80,Social problems,"5th ed. Boston : Pearson, c2013","Macionis, John J.",2013
81,Society and technological change,"7th ed. New York : Worth Publishers, c2014","Volti, Rudi.",2014
82,Strategies of qualitative inquiry,"2nd ed. Thousand Oaks, CA : Sage, c2003","Denzin, Norman K; Lincoln, Yvonna S",2003
83,The basics of social research,"Seventh edition. Boston : Cengage Learning, c2017","Babbie, Earl R.",2017
84,The social work student's research handbook,"New York : Haworth Social Work Practice Press, c2004","Steinberg, Dominique Moyse.",2004
85,"Taking sides. Clashing views in science, technology and society","7th ed. Dubuque, Iowa : McGraw-Hill, c2006","Easton, Thomas A",2006
86,The community in urban society,"Lexington, Mass. : Lexington Books, c1989","Lyon, Larry.",1989
87,Social work values and ethics,"4th ed. New York : Columbia University Press, c2013","Reamer, Frederic G. 1953-",2013
88,Introduction to political sociology : power and participation in the modern world,"5th ed. New York : Oxford University Press, 2009","Orum, Anthony M. Dale, John G",2009
89,社會倫理通識,"1st ed. Hong Kong : Oxford University Press, 2012","Mok, Ka-tung, Francis; Yu, Kam-por, 1957-; Chan, Ho-mun; 莫家棟; 余錦波 1957-; 陳浩文",2012
90,社區工作 : 理論與實踐,"香港 : 中文大學出版社, 1994","Gan, Bingguang; 甘炳光",1994
91,Handbook of urban studies,"London : SAGE, 2001","Paddison, Ronan",2001
92,Constructing social theories,"Chicago : University of Chicago Press, 1987, c1968","Stinchcombe, Arthur L.",1968
93,Research in political sociology.,"Greenwich, Conn. : JAI Press, c1985-",American Sociological Association. Section on Political Sociology,1985
94,An introduction to qualitative research,"London : Sage Publications, 1998","Flick, Uwe 1956-",1998
95,Political sociology : structure and process,"Boston : Allyn and Bacon, c1997","Kourvetaris, George A.",1997
96,Sex & social justice,"New York ; Hong Kong : Oxford University Press, 1999","Nussbaum, Martha Craven 1947- author.",1999
97,From Max Weber : essays in sociology,"London : Routledge & Kegan Paul, 1946","Weber, Max 1864-1920. Gerth, Hans Heinrich 1908-1979.; Mills, C. Wright (Charles Wright), 1916-1962.",1946
98,"Social exclusion and social work : issues of theory, policy and practice","Lyme Regis : Russell House, 1998","Barry, Monica; Hallett, Christine",1998
99,The psychology of prejudice and discrimination,"2nd ed. Belmont, CA : Wadsworth Cengage Learning, c2010","Whitley, Bernard E. Kite, Mary E",2010
100,Social science : beyond constructivism and realism,"Buckingham : Open University Press, 1997","Delanty, Gerard.",1997
101,Political sociology,"2nd ed. Chichester : Wiley, c1986","Dowse, Robert Edward. Hughes, J. A. 1941-",1986
102,Political sociology,"London : Hutchinson, 1979","Bottomore, T. B.",1979
103,Language and power,"Third edition. Abingdon, Oxon ; New York, NY : Routledge, 2015","Fairclough, Norman 1941- author.",2015
104,Rethinking modernity : postcolonialism and the sociological imagination,"Basingstoke England ; New York : Palgrave, 2007","Bhambra, Gurminder K. 1974-",2007
105,Empowerment practice in social work : developing richer conceptual foundations,"Toronto : Canadian Scholars' Press, 1999","Shera, Wes 1946-; Wells, Lilian M",1999
106,"New communitarian thinking : persons, virtues, institutions, and communities","Charlottesville : University Press of Virginia, 1995","Etzioni, Amitai editor.",1995
107,Empowerment in community care,"London : Chapman & Hall, 1995","Jack, Raymond",1995
108,社區工作技巧,"香港 : 中文大学出版社, 1997","Kam, Ping-kwong; 甘炳光",1997
109,An introduction to Japanese society,"Fourth edition. Port Melbourne, VIC, Australia : Cambridge University Press, 2014","Sugimoto, Yoshio 1939-",2014
110,Developing effective research proposals,"2nd ed. London ; Thousand Oaks : SAGE, c2006","Punch, Keith.",2006
111,Social ethics : morality and social policy,"6th ed. Dubuque, Iowa : McGraw-Hill, c2002","Mappes, Thomas A. Zembaty, Jane S",2002
112,Understanding social movements : theories from the Classical Era to the present,"Boulder, CO : Paradigm Publishers, c2011","Buechler, Steven M. 1951-",2011
113,When cultures collide : leading across cultures : a major new edition of the global guide,"[3rd ed.]. Boston ; London : Nicholas Brealey International, 2006","Lewis, Richard D.",2006
114,The integration of social work practice,"Pacific Grove, Calif. : Brooks/Cole Pub. Co., c1994","Parsons, Ruth J. 1944- Jorgensen, James D; Hernández, Santos H. 1949-",1994
115,An Introduction To The Philosophy Of Social Research .,"Hoboken : Taylor and Francis, 2002","May, Tim. Williams, Malcolm",2002
116,How to re-imagine the world : a pocket guide for practical visionaries,"Gabriola, B.C. : New Society Publishers, c2007","Weston, Anthony 1954-",2007
117,"Understanding research for social policy and social work : themes, methods and approaches","2nd ed. Bristol : Policy Press, 2012","Becker, Saul; Bryman, Alan; Ferguson, Harry (Thomas Harold)",2012
118,"Science, technology, and society","Englewood Cliffs, N.J. : Prentice Hall, c1991","McGinn, Robert E. 1941-",1991
119,Community organizing : theory and practice,"Englewood Cliffs, N.J. : Prentice-Hall, c1983","Biklen, Douglas.",1983
120,Science and technology in a multicultural world : the cultural politics of facts and artifacts,"New York : Columbia University Press, c1995","Hess, David J.",1995
121,社區工作 : 社區照顧實踐,"第 2 版. 香港 : 香港社會工作人員協會, 1994","Chan, Cecilia L. W; Yang Luo, Guancui; 陳麗雲; 楊羅觀翠",1994
122,Objectivity in social research,"London : Gerald Duckworth, 1970, c1969","Myrdal, Gunnar 1898-1987.",1969
123,Fashion as communication,"London ; New York : Routledge, 1996","Barnard, Malcolm 1958-",1996
124,"Philosophy of social science : the methods, ideals, and politics of social inquiry","Oxford : Blackwell, 1993","Root, Michael 1940-",1993
125,Professionalism : the third logic,"Cambridge : Polity Press in association with Blackwell Publishers, 2001","Freidson, Eliot 1923-",2001
126,Varieties of social explanation : an introduction to the philosophy of social science,"Boulder : Westview Press, 1991","Little, Daniel.",1991
127,Pathways to power : readings in contextual social work practice,"Boston : Allyn and Bacon, 2002","O'Melia, Michael; Miley, Karla Krogsrud 1942-",2002
128,Handbook of social problems : a comparative international perspective,"Thousand Oaks, Calif. : Sage Publications, c2004","Ritzer, George",2004
129,Introduction to the philosophy of social research,"London : University College London Press, c1996","Williams, Malcolm. May, Tim 1957-",1996
130,Thinking methodologically,"New York, NY : HarperCollins, c1992","Goldenberg, Sheldon.",1992
131,"Handbook of social problems : a comparative, international perspective","Thousand Oaks, Calif. : Sage Publications, c2004","Ritzer, George",2004
132,The survey methods workbook : from design to analysis,"Cambridge, UK ; Malden, MA : Polity, 2004","Buckingham, Alan. Saunders, Peter 1950 August 30-",2004
133,"Business, government, and society : a managerial perspective : text and cases","13th ed. New York : McGraw-Hill Irwin, 2012","Steiner, John F. Steiner, George Albert 1912-",2012
134,The philosophy of social science : an introduction,"Cambridge England : Cambridge University Press, 1994","Hollis, Martin.",1994
135,Theories of urban politics,"London : Sage Publications, 1995","Judge, David; Stoker, Gerry; Wolman, Harold (Harold L.)",1995
136,Images that injure : pictorial stereotypes in the media,"3rd ed. Santa Barbara, Calif. : Praeger, c2011","Ross, Susan Dente; Lester, Paul Martin",2011
137,Readings in the philosophy of social science,"Cambridge, Mass. : MIT Press, c1994","Martin, Michael 1932 February 3-; McIntyre, Lee C",1994
138,From post-industrial to post-modern society : new theories of the contemporary world,"Oxford : Blackwell Publishers, 1995","Kumar, Krishan.",1995
139,Research methods for the behavioral sciences,"3rd ed. Belmont, CA : Wadsworth Cenage Learning, c2009","Gravetter, Frederick J. Forzano, Lori-Ann B",2009
140,The politics of social research,"London : Sage Pub., 1995","Hammersley, Martyn.",1995
141,Macro social work practice : a strengths perspective,"Belmont, CA : Thomson Higher Education, c2006","Long, Dennis D. Tice, Carolyn J; Morrison, John D",2006
142,Political philosophy : a beginners' guide for students and politicians,"Swift, Adam 1961-","Swift, Adam 1961-",1961
143,中國社區工作,"北京 : 中國社會出版社, 1995","Liu, Jitong. ; 劉繼同.",1995
144,Making social science matter : why social inquiry fails and how it can succeed again,"Cambridge, England ; New York : Cambridge University Press, 2001","Flyvbjerg, Bent.",2001
145,"Justice, equality, and rights : an introduction to social and political philosophy","Belmont, CA : Wadsworth/Thomson, c2004","Barcalow, Emmett.",2004
146,Technology and society : issues for the 21st century and beyond,"3rd ed. Upper Saddle River, N.J. : Prentice Hall, c2008","Hjorth, Linda S",2008
147,Current issues in community work : a study,"London : Routledge & K. Paul, 1973",Community Work Group (Great Britain),1973
148,"Society, ethics, and technology","5th ed. Australia ; Boston, MA : Wadsworth Cengage Learning, c2014","Winston, Morton Emanuel; Edelbach, Ralph",2014
149,"Science, technology, and society : new directions","New Brunswick, N.J. : Rutgers University Press, 1991","Webster, Andrew 1951-",1991
150,"Social research : philosophy, politics and practice","London : Sage in association with the Open Uniersity, 1993","Hammersley, Martyn",1993
151,Designing and conducting mixed methods research,"2nd ed. Thousand Oaks, Calif. : SAGE Publications, c2011","Creswell, John W. Plano Clark, Vicki L",2011
152,Corporate social responsibility,"London ; Los Angeles : Sage Publications, c2015","Pedersen, Esben Rahbek",2015
153,Theory and practice of community social work,"New York : Columbia University Press, 1985","Taylor, Samuel H; Roberts, Robert W",1985
154,The philosophy of the social sciences,"London : Meteune, 1978","Pratt, Vernon",1978
155,個案工作 : 理論及案例 = Casework : theories and case illustrations,"第1版. 香港 : 中文大學出版社, 2001","Ko Lau, Po-chee, Grace; Au, Chak-kwong, 1955-; 高劉寶慈; 區澤光 1955-",2001
156,社區工作 : 理論與實務,"2 版. 台北市 : 巨流圖書公司, 2003","Su, Jinghui. ; 蘇景輝.",2003
157,"Social studies of science and technology : looking back, ahead","Dordrecht : Kluwer Academic Publishers, c2003","Joerges, Bernward; Nowotny, Helga",2003
158,Technology and social complexity,"Albany : State University of New York Press, c1982","Richter, Maurice N.",1982
159,Methods : doing social research,"Scarborough, Ont. : Prentice-Hall, c1995","Jackson, Winston.",1995
160,Empowerment in social work practice : a sourcebook,"Pacific Grove : Brooks/Cole Pub. Co., c1998","Gutiérrez, Lorraine M (Lorraine Margot); Parsons, Ruth J. 1944-; Cox, Enid Opal 1941-",1998
161,小組工作程序計劃簿,"初版. 香港 : 香港理工大學應用社會科學系, 2001","He, Jieyun; Hong Kong Polytechnic University. Department of Applied Social Studies; 何潔雲; 香港理工大學. 應用社會科學系.",2001
162,Skills in neighbourhood work,"4th ed. Abingdon, Oxon ; New York, NY : Routledge, 2013","Henderson, Paul. Thomas, David N. 1945-",2013
163,Practical sampling,"Newbury Park : Sage, c1990","Henry, Gary T.",1990
164,Human relations : interpersonal job-oriented skills,"Twelfth edition. Boston : Pearson, 2015","DuBrin, Andrew J. author.",2015
165,Feminist social work,"London : Macmillan, 1989","Dominelli, Lena. Mcleod, Eileen",1989
166,Case study research : principles and practices,Cambridge : Cambridge University Press 2006,"Gerring, John 1962- author.",2006
167,What is a case? : exploring the foundations of social inquiry,"Cambridge ; New York : Cambridge University Press, 1992","Ragin, Charles C; Becker, Howard Saul 1928-",1992
168,"Moral literacy, or, How to do the right thing","Indianapolis, Ind. : Hackett Pub. Co., 1992","McGinn, Colin 1950-",1992
169,Book of imaginary media : excavating the dream of the ultimate communication medium,"Rotterdam : NAI ; London : Art Data, c2006","Kluitenberg, Eric",2006
170,Endless referrals : network your everyday contacts into sales,"3rd ed. New York : McGraw Hill, c2006","Burg, Bob.",2006
171,"Technology, change, and society","Rev. ed. Worcester, Mass. : Davis, c1985","Pytlik, Edward C. Lauda, Donald P; Johnson, David L. 1940-",1985
172,"Making democracy work better : mediating structures, social capital, and the democratic prospect","Chapel Hill ; London : University of North Carolina Press, 1999","Couto, Richard A. 1941- Guthrie, Catherine S",1999
173,The fashion system,"Berkeley : University of California Press, 1990","Barthes, Roland.",1990
174,"Comparative perspectives on social movements : political opportunities, mobilizing structures, and cultural framings","Cambridge England ; New York : Cambridge University Press, 1996","McAdam, Doug; McCarthy, John D. 1955-; Zald, Mayer, N",1996
175,Modern social work theory : a critical introduction,"London : Macmillan, c1991","Payne, Malcolm 1947-",1991
176,Social work with groups : a process model,"New York : Longman, c1997","Anderson, Joseph 1941-",1997
177,The comparative method : moving beyond qualitative and quantitative strategies,"Berkeley : University of California Press, c1987","Ragin, Charles C.",1987
178,A Companion to ethics,"Oxford, UK ; Cambridge, Mass., USA : Blackwell Reference, 1991","Singer, Peter 1946-",1991
179,Lobbying for social change,"3rd ed. New York : Haworth Press, c2006","Richan, Willard C.",2006
180,On thinking institutionally,"Boulder, Colo. : Paradigm Publishers, c2008","Heclo, Hugh.",2008
181,「社會服務成效評估 : 程序邏輯模式之應用」 = Program logic model,"第 1 版. 香港 : 香港基督教女青年會, 2006","Chan, Kam Tong, 1958- ; 陳錦棠 1958- Hong Kong Young Women's Christian Association; 香港基督教女青年會.",2006
182,Law and social justice,"Cambridge, Mass. : MIT Press, c2005","Inland Northwest Philosophy Conference (5th : 2002 : Moscow, Idaho and Pullman, Wash.) Campbell, Joseph Keim 1958-; O'Rourke, Michael 1963-; Shier, David 1958-",2005
183,Marketing across cultures,"6th ed. Harlow, England ; New York : Pearson, 2013","Usunier, Jean-Claude. Lee, Julie Anne",2013
184,Publication manual of the American Psychological Association.,"6th ed. Washington, DC : American Psychological Association, c2010",American Psychological Association.,2010
185,Let the people decide : neighborhood organizing in America,"Boston, Mass. : Twayne, c1984","Fisher, Robert 1947-",1984
186,Social policy reform in Hong Kong and Shanghai : a tale of two cities,"Armonk, N.Y. : M.E. Sharpe, c2004","Wong, Linda 1949-; White, Lynn T. III, 1941-; Gui, Shixun",2004
187,"The law of peoples ; with, The idea of public reason revisited","Cambridge, Mass. : Harvard University Press, 1999","Rawls, John 1921-2002.",1999
188,"Science, technology, and society : a sociological approach","Malden, Mass. : Blackwell Pub., 2006","Bauchspies, Wenda K. Croissant, Jennifer 1965-; Restivo, Sal P",2006
189,香港社區工作 : 反思與前瞻,"香港 : 中華書局, 1995","Mo, Taiji; Guo, Kaiyi; Liang, Baolin; 莫泰基; 郭凱儀; 梁寶霖",1995
190,The face of fashion : cultural studies in fashion,"London ; New York : Routledge, 1994","Craik, Jennifer.",1994
191,A challenge to change : practical experiences of building user-led services,"London : National Institute for Social Work, 1993","Beresford, Peter; Harding, Tessa; National Institute for Social Work",1993
192,The social quality of Europe,"Hague ; Boston : Kluwer Law International, c1997","Beck, Wolfgang 1937-; Maesen, Laurent van der; Walker, Alan",1997
193,Self-directed groupwork : users take action for empowerment,"London : Whiting & Birch, 1991","Mullender, Audrey. Ward, Dave",1991
194,An introduction to science and technology studies,"Malden, MA : Blackwell Pub., c2004","Sismondo, Sergio.",2004
195,Beyond casework,"Basingstoke : Macmillan, 1991","Barber, James G.",1991
196,求索基層組織路,"香港 : 該中心, 1994","Tsuen Wan Ecumenical Social Service Centre (Hong Kong, China); 荃灣合一社會服務中心(香港, 中國)",1994
197,Anti-discriminatory practice,"4th ed. Basingstoke England ; New York : Palgrave Macmillan, 2006","Thompson, Neil 1955-",2006
198,"Self-help, social work and empowerment","Basingstoke : Macmillan, 1990","Adams, Robert 1944-",1990
199,The myth of neighbourhood mutual help : the contemporary Chinese community-based welfare system in Guangzhou,"Hong Kong : Hong Kong University Press, 1993","Chan, Cecilia L. W.",1993
200,"Social statistics : managing data, conducting analyses, presenting results","Second Edition. New York, NY : Routledge, 2014","Linneman, Thomas John author.",2014
201,Future forms and design for sustainable cities,"Amsterdam ; Boston : Elsevier, 2005","Jenks, M (Michael); Dempsey, Nicola",2005
202,Elementary statistics in social research : the essentials,"3rd ed. Boston : Allyn & Bacon, c2011","Levin, Jack 1941- Fox, James Alan",2011
203,Social life and development in Hong Kong,"Hong Kong : Chinese University Press, c1981","Jin, Yaoji 1935-; Lee, Rance Pui-leung; Chinese University of Hong Kong. Social Research Centre.",1981
204,Psychology of prejudice and discrimination,"Third edition. New York, NY : Routledge, 2016","Whitley, Bernard E. Jr., 1946- author. Kite, Mary E. author.",2016
205,"Is your ""net"" working? : a complete guide to building contacts and career visibility","New York : Wiley, c1989","Boe, Anne 1946- Youngs, Bettie B",1989
206,An archaeology of Asia,Place of publication not identified Blackwell Pub 2005,"Stark, Miriam T Contributor",2005
207,Social problems : a down-to-earth approach,"Eleventh Edition. Boston : Pearson, 2014","Henslin, James M.",2014
208,社區工作新程式,"香港 : 商務印書館, 1992",Hong Kong Young Women's Christian Association,1992
210,Achieving power : practice and policy in social welfare,"North Sydney : Allen & Unwin, 1991","Rees, Stuart.",1991
211,The social basis of community care,"London : Allen & Unwin, 1987","Bulmer, Martin.",1987
212,"Dimensions of Japanese society : gender, margins and mainstream","Houndmills, Basingstoke, Hampshire : Macmillan Press ; New York : St. Martin's Press, 1999","Henshall, Kenneth G.",1999
213,"Communication, technology and society","London : SAGE, 2002","Green, Lelia 1956-",2002
214,"Fashion and its social agendas : class, gender, and identity in clothing","Chicago : University of Chicago Press, 2000","Crane, Diana 1933-",2000
215,Rethinking Modernity : Postcolonialism and the Sociological Imagination,"London : Palgrave Macmillan UK : Imprint: Palgrave Macmillan, 2007","Bhambra, Gurminder K. author.",2007
216,Chinese society in the age of Confucius (1000-250 BC) : the archaeological evidence,"Los Angeles : Cotsen Institute of Archaeology, University of California, 2006","Falkenhausen, Lothar von.",2006
217,Doing fieldwork in China,"Honolulu : University of Hawaii Press, c2006","Heimer, Maria; Thogersen, Stig",2006
218,Understanding social psychology across cultures : engaging with others in a changing world,"Second edition. Los Angeles, California : SAGE, 2013","Smith, Peter Bevington.",2013
219,Community practice : models in action,"New York : Haworth Press, c1997","Weil, Marie 1941-",1997
220,"Urban theory : a critical introduction to power, cities and urbanism in the 21st century","Los Angeles : SAGE, 2014","Harding, Alan 1958- author. Blokland-Potters, Talja author.",2014
