,titles,publishers,authors,years
32,Introducing communication research : paths of inquiry,"Third edition. Los Angeles : Sage, 2017","Treadwell, D. F. (Donald Francis), author.",2017
33,Book of imaginary media : excavating the dream of the ultimate communication medium,"Rotterdam : NAI ; London : Art Data, c2006","Kluitenberg, Eric",2006
34,Endless referrals : network your everyday contacts into sales,"3rd ed. New York : McGraw Hill, c2006","Burg, Bob.",2006
35,The dynamics of persuasion : communication and attitudes in the 21st century,"5th ed. New York : Routledge, 2014","Perloff, Richard M.",2014
36,Reaching out : interpersonal effectiveness and self-actualization,"11th ed. Boston : Pearson, c2014","Johnson, David W. 1940-",2014
37,When words collide : a media writer's guide to grammar and style,"Ninth edition. Boston, MA : Cengage Learning, 2015","Kessler, Lauren author. McDonald, Duncan 1945- author.",2015
38,"Media now : understanding media, culture, and technology","Tenth edition. Boston, MA : Cengage Learning, 2018","Straubhaar, Joseph D. author. LaRose, Robert author.; Davenport, Lucinda author.",2018
39,When cultures collide : leading across cultures : a major new edition of the global guide,"[3rd ed.]. Boston ; London : Nicholas Brealey International, 2006","Lewis, Richard D.",2006
40,Culture and psychology,"3rd ed. Belmont, CA : Wadsworth/Thomson, c2004","Matsumoto, David Ricky. Juang, Linda P (Linda Pailiang)",2004
41,Culture and psychology : people around the world,"2nd ed. Australia ; Delmar, Calif. : Wadsworth Thomson Learning, c2000","Matsumoto, David Ricky.",2000
42,"White space is not your enemy : a beginner's guide to communicating visually through graphic, web & multimedia design","3rd ed. Boca Raton : CRC Press, Taylor & Francis Group, CRC Press is an imprint of the Taylor & Francis Group, an informa business, 2017","Hagen, Rebecca author. Golombisky, Kim author.",2017
43,Make your mark! : influencing across your organization,"London : McGraw Hill Pub. Co., c1997","Craig, Sue 1949-",1997
44,Cross-cultural management communication,"Chichester ; New York : Wiley, c1990","Mead, Richard R. (Richard Ramsay), 1904-",1990
45,Training in management skills,"Upper Saddle River, N.J. : Prentice Hall, c2001","Hunsaker, Phillip L.",2001
46,"The spectacle of accumulation : essays in culture, media, & politics","New York, N.Y. : P. Lang, c2006","Jhally, Sut.",2006
47,Marketing across cultures,"6th ed. Harlow, England ; New York : Pearson, 2013","Usunier, Jean-Claude. Lee, Julie Anne",2013
48,"Discovering speech, words, and mind","Malden, Mass. : Wiley-Blackwell, 2010","Byrd, Dani. Mintz, Toben H",2010
49,A student's guide to presentations : making your presentation count,"Los Angeles : SAGE Publications, 2007","Chivers, Barbara. Shoolbred, Michael",2007
50,"Gender, race and class in media : a text-reader","Thousand Oaks, Calif. : Sage, c1995","Dines, Gail; Humez, Jean McMahon 1944-",1995
51,Liberation technology : social media and the struggle for democracy,"Baltimore, Md. : Johns Hopkins University Press, 2012","Diamond, Larry Jay; Plattner, Marc F. 1945-",2012
52,"Semantics, culture, and cognition : universal human concepts in culture-specific configurations","New York : Oxford University Press, 1992","Wierzbicka, Anna.",1992
